"DAYSAHEAD","TARGETDATE","FORECASTDEMAND","CARDINALPOINT","CP_TYPE","CP_ST_TIME","CP_END_TIME","F_Point","FORECAST_TIMESTAMP"
1,"2018-01-20T00:00:00Z",37790,"4B","F",2100,2100,"","2018-01-19T08:29:18Z"
1,"2018-01-20T00:00:00Z",30390,"4C","F",2400,2400,"","2018-01-19T08:29:18Z"
1,"2018-01-21T00:00:00Z",28260,"1F","F",30,30,"","2018-01-20T08:33:35Z"
1,"2018-01-21T00:00:00Z",29280,"1A","P",100,230,"","2018-01-20T08:33:35Z"
1,"2018-01-21T00:00:00Z",28090,"03","F",300,300,"","2018-01-20T08:33:35Z"
1,"2018-01-21T00:00:00Z",25490,"1B","T",430,730,"Om","2018-01-20T08:33:35Z"
1,"2018-01-21T00:00:00Z",33270,"2F","P",800,900,"","2018-01-20T08:33:35Z"
1,"2018-01-21T00:00:00Z",37370,"2A","P",930,1030,"","2018-01-20T08:33:35Z"
1,"2018-01-21T00:00:00Z",40280,"2B","P",1100,1300,"DM","2018-01-20T08:33:35Z"
1,"2018-01-21T00:00:00Z",40350,"3B","T",1330,1630,"Dm","2018-01-20T08:33:35Z"
1,"2018-01-21T00:00:00Z",44570,"DP","P",1700,1930,"EM","2018-01-20T08:33:35Z"
1,"2018-01-21T00:00:00Z",36990,"4B","F",2100,2100,"","2018-01-20T08:33:35Z"
1,"2018-01-21T00:00:00Z",26420,"4C","F",2400,2400,"","2018-01-20T08:33:35Z"
1,"2018-01-22T00:00:00Z",26190,"1F","F",30,30,"","2018-01-21T08:29:09Z"
1,"2018-01-22T00:00:00Z",26810,"1A","P",100,230,"","2018-01-21T08:29:09Z"
1,"2018-01-22T00:00:00Z",25860,"03","F",300,300,"","2018-01-21T08:29:09Z"
1,"2018-01-22T00:00:00Z",25150,"1B","T",430,730,"Om","2018-01-21T08:29:09Z"
1,"2018-01-22T00:00:00Z",42040,"2F","P",800,900,"","2018-01-21T08:29:09Z"
1,"2018-01-22T00:00:00Z",42250,"2A","P",930,1030,"DM","2018-01-21T08:29:09Z"
1,"2018-01-22T00:00:00Z",41580,"2B","P",1100,1300,"","2018-01-21T08:29:09Z"
1,"2018-01-22T00:00:00Z",41140,"3B","T",1330,1630,"Dm","2018-01-21T08:29:09Z"
1,"2018-01-22T00:00:00Z",48080,"DP","P",1700,1930,"EM","2018-01-21T08:29:09Z"
1,"2018-01-22T00:00:00Z",40710,"4B","F",2100,2100,"","2018-01-21T08:29:09Z"
1,"2018-01-22T00:00:00Z",28010,"4C","F",2400,2400,"","2018-01-21T08:29:09Z"
1,"2018-01-23T00:00:00Z",27210,"1F","F",30,30,"","2018-01-22T08:31:29Z"
1,"2018-01-23T00:00:00Z",27450,"1A","P",100,230,"","2018-01-22T08:31:29Z"
1,"2018-01-23T00:00:00Z",26100,"03","F",300,300,"","2018-01-22T08:31:29Z"
1,"2018-01-23T00:00:00Z",24920,"1B","T",430,730,"Om","2018-01-22T08:31:29Z"
1,"2018-01-23T00:00:00Z",39760,"2F","P",800,900,"","2018-01-22T08:31:29Z"
1,"2018-01-23T00:00:00Z",40870,"2A","P",930,1030,"","2018-01-22T08:31:29Z"
1,"2018-01-23T00:00:00Z",41270,"2B","P",1100,1300,"DM","2018-01-22T08:31:29Z"
1,"2018-01-23T00:00:00Z",40380,"3B","T",1330,1630,"Dm","2018-01-22T08:31:29Z"
1,"2018-01-23T00:00:00Z",45720,"DP","P",1700,1930,"EM","2018-01-22T08:31:29Z"
1,"2018-01-23T00:00:00Z",38990,"4B","F",2100,2100,"","2018-01-22T08:31:29Z"
1,"2018-01-23T00:00:00Z",26850,"4C","F",2400,2400,"","2018-01-22T08:31:29Z"
1,"2018-01-24T00:00:00Z",26840,"1F","F",30,30,"","2018-01-23T08:44:41Z"
1,"2018-01-24T00:00:00Z",26970,"1A","P",100,230,"","2018-01-23T08:44:41Z"
1,"2018-01-24T00:00:00Z",24390,"03","F",300,300,"","2018-01-23T08:44:41Z"
1,"2018-01-24T00:00:00Z",22400,"1B","T",430,730,"Om","2018-01-23T08:44:41Z"
1,"2018-01-24T00:00:00Z",38620,"2F","P",800,900,"","2018-01-23T08:44:41Z"
1,"2018-01-24T00:00:00Z",40080,"2A","P",930,1030,"","2018-01-23T08:44:41Z"
1,"2018-01-24T00:00:00Z",41280,"2B","P",1100,1300,"DM","2018-01-23T08:44:41Z"
1,"2018-01-24T00:00:00Z",40590,"3B","T",1330,1630,"Dm","2018-01-23T08:44:41Z"
1,"2018-01-24T00:00:00Z",45750,"DP","P",1700,1930,"EM","2018-01-23T08:44:41Z"
1,"2018-01-24T00:00:00Z",39260,"4B","F",2100,2100,"","2018-01-23T08:44:41Z"
1,"2018-01-24T00:00:00Z",27270,"4C","F",2400,2400,"","2018-01-23T08:44:41Z"
1,"2018-01-25T00:00:00Z",26470,"1F","F",30,30,"","2018-01-24T08:49:49Z"
1,"2018-01-25T00:00:00Z",26900,"1A","P",100,230,"","2018-01-24T08:49:49Z"
1,"2018-01-25T00:00:00Z",24990,"03","F",300,300,"","2018-01-24T08:49:49Z"
1,"2018-01-25T00:00:00Z",23880,"1B","T",430,730,"Om","2018-01-24T08:49:49Z"
1,"2018-01-25T00:00:00Z",39390,"2F","P",800,900,"","2018-01-24T08:49:49Z"
1,"2018-01-25T00:00:00Z",39440,"2A","P",930,1030,"DM","2018-01-24T08:49:49Z"
1,"2018-01-25T00:00:00Z",38700,"2B","P",1100,1300,"","2018-01-24T08:49:49Z"
1,"2018-01-25T00:00:00Z",38730,"3B","T",1330,1630,"Dm","2018-01-24T08:49:49Z"
1,"2018-01-25T00:00:00Z",46240,"DP","P",1700,1930,"EM","2018-01-24T08:49:49Z"
1,"2018-01-25T00:00:00Z",40070,"4B","F",2100,2100,"","2018-01-24T08:49:49Z"
1,"2018-01-25T00:00:00Z",28340,"4C","F",2400,2400,"","2018-01-24T08:49:49Z"
1,"2018-01-26T00:00:00Z",28540,"1F","F",30,30,"","2018-01-25T08:30:00Z"
1,"2018-01-26T00:00:00Z",28980,"1A","P",100,230,"","2018-01-25T08:30:00Z"
1,"2018-01-26T00:00:00Z",27210,"03","F",300,300,"","2018-01-25T08:30:00Z"
1,"2018-01-26T00:00:00Z",26280,"1B","T",430,730,"Om","2018-01-25T08:30:00Z"
1,"2018-01-26T00:00:00Z",41860,"2F","P",800,900,"DM","2018-01-25T08:30:00Z"
